Time,Filename,Stage
2012-06-09 13:15:00,StateLineWeir_20120609_Farrell_001.jpg,2.99
2012-06-09 13:15:00,StateLineWeir_20120609_Farrell_002.jpg,2.99
2012-06-09 13:45:00,StateLineWeir_20120609_Farrell_003.jpg,2.96
2012-06-09 14:45:00,StateLineWeir_20120609_Farrell_004.jpg,2.94
2012-06-09 15:45:00,StateLineWeir_20120609_Farrell_005.jpg,2.94
2012-06-09 16:45:00,StateLineWeir_20120609_Farrell_006.jpg,2.94
2012-06-09 17:45:00,StateLineWeir_20120609_Farrell_007.jpg,2.94
2012-06-09 18:45:00,StateLineWeir_20120609_Farrell_008.jpg,3.01
2012-06-09 19:45:00,StateLineWeir_20120609_Farrell_009.jpg,2.98
2012-06-09 20:45:00,StateLineWeir_20120609_Farrell_010.jpg,2.96
2012-06-09 21:45:00,StateLineWeir_20120609_Farrell_011.jpg,2.97
2012-06-10 05:45:00,StateLineWeir_20120610_Farrell_019.jpg,2.92
2012-06-10 06:45:00,StateLineWeir_20120610_Farrell_020.jpg,2.93
2012-06-10 08:00:00,StateLineWeir_20120610_Farrell_021.jpg,2.97
2012-06-10 09:00:00,StateLineWeir_20120610_Farrell_022.jpg,2.94
2012-06-10 09:15:00,StateLineWeir_20120610_Farrell_023.jpg,2.93
2012-06-10 10:00:00,StateLineWeir_20120610_Farrell_024.jpg,2.92
2012-06-10 11:00:00,StateLineWeir_20120610_Farrell_025.jpg,2.94
2012-06-10 12:00:00,StateLineWeir_20120610_Farrell_026.jpg,2.96
2012-06-10 13:00:00,StateLineWeir_20120610_Farrell_027.jpg,2.92
2012-06-10 14:00:00,StateLineWeir_20120610_Farrell_028.jpg,2.91
2012-06-10 15:00:00,StateLineWeir_20120610_Farrell_029.jpg,2.93
2012-06-10 16:00:00,StateLineWeir_20120610_Farrell_030.jpg,2.95
2012-06-10 17:00:00,StateLineWeir_20120610_Farrell_031.jpg,2.93
2012-06-10 18:00:00,StateLineWeir_20120610_Farrell_032.jpg,2.91
2012-06-10 19:00:00,StateLineWeir_20120610_Farrell_033.jpg,2.93
2012-06-10 20:00:00,StateLineWeir_20120610_Farrell_034.jpg,2.94
2012-06-10 22:00:00,StateLineWeir_20120610_Farrell_036.jpg,2.9
2012-06-11 06:00:00,StateLineWeir_20120611_Farrell_044.jpg,2.9
2012-06-11 07:00:00,StateLineWeir_20120611_Farrell_045.jpg,2.94
2012-06-11 08:00:00,StateLineWeir_20120611_Farrell_046.jpg,2.91
2012-06-11 09:00:00,StateLineWeir_20120611_Farrell_047.jpg,2.89
2012-06-11 10:00:00,StateLineWeir_20120611_Farrell_048.jpg,2.96
2012-06-11 11:00:00,StateLineWeir_20120611_Farrell_049.jpg,2.93
2012-06-11 12:00:00,StateLineWeir_20120611_Farrell_050.jpg,2.89
2012-06-11 13:00:00,StateLineWeir_20120611_Farrell_051.jpg,2.91
2012-06-11 14:00:00,StateLineWeir_20120611_Farrell_052.jpg,2.95
2012-06-11 15:00:00,StateLineWeir_20120611_Farrell_053.jpg,2.93
2012-06-11 16:15:00,StateLineWeir_20120611_Farrell_054.jpg,2.92
2012-06-11 17:15:00,StateLineWeir_20120611_Farrell_055.jpg,2.99
2012-06-11 18:15:00,StateLineWeir_20120611_Farrell_056.jpg,2.94
2012-06-11 19:15:00,StateLineWeir_20120611_Farrell_057.jpg,2.92
2012-06-11 20:15:00,StateLineWeir_20120611_Farrell_058.jpg,2.96
2012-06-11 21:15:00,StateLineWeir_20120611_Farrell_059.jpg,2.97
2012-06-12 06:15:00,StateLineWeir_20120612_Farrell_068.jpg,2.94
2012-06-12 07:15:00,StateLineWeir_20120612_Farrell_069.jpg,2.96
2012-06-12 08:15:00,StateLineWeir_20120612_Farrell_070.jpg,3.0
2012-06-12 09:15:00,StateLineWeir_20120612_Farrell_071.jpg,2.97
2012-06-12 10:15:00,StateLineWeir_20120612_Farrell_072.jpg,2.95
2012-06-12 11:15:00,StateLineWeir_20120612_Farrell_073.jpg,2.96
2012-06-12 12:15:00,StateLineWeir_20120612_Farrell_074.jpg,2.99
2012-06-12 13:15:00,StateLineWeir_20120612_Farrell_075.jpg,2.94
2012-06-12 14:15:00,StateLineWeir_20120612_Farrell_076.jpg,2.94
2012-06-12 15:15:00,StateLineWeir_20120612_Farrell_077.jpg,2.97
2012-06-12 16:15:00,StateLineWeir_20120612_Farrell_078.jpg,2.98
2012-06-12 17:15:00,StateLineWeir_20120612_Farrell_079.jpg,2.95
2012-06-12 18:15:00,StateLineWeir_20120612_Farrell_080.jpg,2.95
2012-06-12 19:15:00,StateLineWeir_20120612_Farrell_081.jpg,3.01
2012-06-12 20:15:00,StateLineWeir_20120612_Farrell_082.jpg,2.97
2012-06-12 21:15:00,StateLineWeir_20120612_Farrell_083.jpg,2.97
2012-06-13 06:30:00,StateLineWeir_20120613_Farrell_092.jpg,3.05
2012-06-13 07:30:00,StateLineWeir_20120613_Farrell_093.jpg,3.02
2012-06-13 08:30:00,StateLineWeir_20120613_Farrell_094.jpg,3.01
2012-06-13 09:30:00,StateLineWeir_20120613_Farrell_095.jpg,3.05
2012-06-13 10:30:00,StateLineWeir_20120613_Farrell_096.jpg,3.06
2012-06-13 11:30:00,StateLineWeir_20120613_Farrell_097.jpg,3.03
2012-06-13 12:30:00,StateLineWeir_20120613_Farrell_098.jpg,3.04
2012-06-13 13:30:00,StateLineWeir_20120613_Farrell_099.jpg,3.07
2012-06-13 14:30:00,StateLineWeir_20120613_Farrell_100.jpg,3.04
2012-06-13 15:30:00,StateLineWeir_20120613_Farrell_101.jpg,3.02
2012-06-13 16:30:00,StateLineWeir_20120613_Farrell_102.jpg,3.05
2012-06-13 17:30:00,StateLineWeir_20120613_Farrell_103.jpg,3.06
2012-06-13 18:30:00,StateLineWeir_20120613_Farrell_104.jpg,3.02
2012-06-13 19:30:00,StateLineWeir_20120613_Farrell_105.jpg,3.04
2012-06-13 20:30:00,StateLineWeir_20120613_Farrell_106.jpg,3.08
2012-06-13 21:30:00,StateLineWeir_20120613_Farrell_107.jpg,3.04
2012-06-14 06:45:00,StateLineWeir_20120614_Farrell_116.jpg,3.06
2012-06-14 07:45:00,StateLineWeir_20120614_Farrell_117.jpg,3.0
2012-06-14 08:45:00,StateLineWeir_20120614_Farrell_118.jpg,2.99
2012-06-14 09:45:00,StateLineWeir_20120614_Farrell_119.jpg,3.02
2012-06-14 10:45:00,StateLineWeir_20120614_Farrell_120.jpg,3.01
2012-06-14 11:45:00,StateLineWeir_20120614_Farrell_121.jpg,2.98
2012-06-14 12:45:00,StateLineWeir_20120614_Farrell_122.jpg,3.01
2012-06-14 13:45:00,StateLineWeir_20120614_Farrell_123.jpg,3.03
2012-06-14 14:45:00,StateLineWeir_20120614_Farrell_124.jpg,2.99
2012-06-14 15:45:00,StateLineWeir_20120614_Farrell_125.jpg,3.0
2012-06-14 16:45:00,StateLineWeir_20120614_Farrell_126.jpg,3.04
2012-06-14 17:45:00,StateLineWeir_20120614_Farrell_127.jpg,3.02
2012-06-14 18:45:00,StateLineWeir_20120614_Farrell_128.jpg,3.0
2012-06-14 19:45:00,StateLineWeir_20120614_Farrell_129.jpg,3.02
2012-06-14 20:45:00,StateLineWeir_20120614_Farrell_130.jpg,3.03
2012-06-14 21:45:00,StateLineWeir_20120614_Farrell_131.jpg,3.03
2012-06-15 05:45:00,StateLineWeir_20120615_Farrell_139.jpg,3.04
2012-06-15 06:45:00,StateLineWeir_20120615_Farrell_140.jpg,3.04
2012-06-15 07:45:00,StateLineWeir_20120615_Farrell_141.jpg,3.04
2012-06-15 08:45:00,StateLineWeir_20120615_Farrell_142.jpg,3.04
